file_index,original_value,predict_value
0,0,1.0
1,0,1.0
2,3,2.0
3,0,1.0
4,25,18.0
5,1,1.0
6,0,1.0
7,13,9.0
8,7,5.0
9,1,1.0
10,0,0.0
11,2,9.0
12,1,1.0
13,0,1.0
14,7,1.0
15,2,1.0
16,4,2.0
17,1,1.0
18,1,1.0
19,4,5.0
20,4,4.0
21,0,0.0
22,0,0.0
23,2,1.0
24,5,5.0
25,1,2.0
26,3,2.0
27,2,3.0
28,2,1.0
29,0,0.0
30,0,0.0
31,0,1.0
32,0,1.0
33,0,0.0
34,3,3.0
35,36,26.0
36,0,1.0
37,1,1.0
38,3,1.0
39,2,1.0
40,0,1.0
41,1,2.0
42,2,4.0
43,2,1.0
44,0,6.0
45,4,4.0
46,0,-0.0
47,0,0.0
48,3,0.0
49,2,1.0
50,1,1.0
51,0,1.0
52,2,3.0
53,6,4.0
54,2,5.0
55,0,0.0
56,0,-0.0
57,1,1.0
58,1,0.0
59,0,-0.0
60,0,6.0
61,0,0.0
62,4,1.0
63,1,5.0
64,1,1.0
65,0,1.0
66,0,3.0
67,0,1.0
68,1,0.0
69,1,2.0
70,4,2.0
71,0,1.0
72,0,0.0
73,0,6.0
74,0,2.0
75,2,1.0
76,6,3.0
77,3,1.0
78,1,1.0
79,0,1.0
80,4,5.0
81,2,4.0
82,0,5.0
83,2,5.0
84,0,-0.0
85,0,-0.0
86,0,1.0
87,1,2.0
88,0,3.0
89,1,1.0
90,2,0.0
91,3,1.0
92,2,3.0
93,0,0.0
94,0,2.0
95,1,3.0
96,0,1.0
97,0,1.0
98,0,0.0
99,0,1.0
100,0,-1.0
101,0,0.0
102,1,1.0
103,6,2.0
104,5,4.0
105,0,0.0
106,1,-0.0
107,3,6.0
108,0,0.0
109,12,12.0
110,0,-1.0
