file_index,original_value,predict_value
0,2,1.0
1,2,1.0
2,2,1.0
3,0,1.0
4,4,20.0
5,0,1.0
6,0,1.0
7,0,1.0
8,0,1.0
9,0,1.0
10,0,1.0
11,0,1.0
12,2,1.0
13,0,1.0
14,0,18.0
15,1,3.0
16,0,3.0
17,3,0.0
18,2,1.0
19,2,0.0
20,0,0.0
21,1,-0.0
22,2,1.0
23,0,1.0
24,1,0.0
25,0,1.0
26,0,0.0
27,0,0.0
28,0,-1.0
29,0,0.0
30,0,0.0
31,1,2.0
32,0,1.0
33,0,9.0
34,2,1.0
35,2,1.0
36,2,1.0
37,2,1.0
38,0,1.0
39,0,1.0
40,0,1.0
41,0,1.0
42,0,0.0
43,0,1.0
44,0,1.0
45,0,0.0
46,0,13.0
47,1,1.0
48,2,11.0
49,2,16.0
50,2,1.0
51,2,1.0
52,2,1.0
53,0,2.0
54,0,2.0
55,0,1.0
56,0,2.0
57,0,1.0
58,0,1.0
59,1,1.0
60,0,0.0
61,0,1.0
62,0,1.0
63,0,11.0
64,0,1.0
65,5,7.0
66,2,1.0
67,2,1.0
68,2,1.0
69,0,1.0
70,11,2.0
71,5,1.0
72,0,1.0
73,0,1.0
74,0,1.0
75,0,1.0
76,0,1.0
77,1,1.0
78,0,1.0
79,0,1.0
80,1,1.0
81,0,1.0
82,2,1.0
83,2,1.0
84,2,1.0
85,9,10.0
86,1,1.0
87,2,3.0
88,0,9.0
89,0,1.0
90,1,3.0
91,2,1.0
92,0,1.0
93,0,1.0
94,0,0.0
95,0,1.0
96,1,1.0
97,2,7.0
98,2,1.0
99,2,1.0
100,2,1.0
101,2,11.0
102,1,0.0
103,0,1.0
104,0,3.0
105,2,4.0
106,0,1.0
107,0,-0.0
108,0,1.0
109,0,1.0
110,1,1.0
111,0,0.0
112,0,0.0
113,2,2.0
114,2,1.0
115,1,1.0
116,2,0.0
117,0,1.0
118,0,1.0
119,0,1.0
120,0,1.0
121,0,1.0
122,1,0.0
123,1,1.0
124,1,1.0
125,0,1.0
126,1,17.0
127,0,1.0
128,0,1.0
129,0,1.0
130,2,0.0
131,2,0.0
132,2,0.0
133,2,0.0
134,2,0.0
135,2,0.0
136,0,0.0
137,0,0.0
138,0,0.0
139,0,0.0
140,8,0.0
141,2,0.0
142,0,0.0
143,2,0.0
144,2,0.0
145,0,0.0
146,2,1.0
147,2,1.0
148,2,1.0
149,2,0.0
150,5,9.0
151,0,1.0
152,0,8.0
153,1,1.0
154,0,1.0
155,3,7.0
156,0,0.0
157,1,2.0
158,1,0.0
159,0,0.0
160,0,1.0
161,1,1.0
